11:56:41.047 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11:56:41.423 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:56:42.322 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
11:56:43.147 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:56:43.475 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7af22a6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6499fda5, org.springframework.security.web.context.SecurityContextHolderFilter@6ab36cee, org.springframework.security.web.header.HeaderWriterFilter@626e3b18, org.springframework.web.filter.CorsFilter@7f210da5, org.springframework.security.web.authentication.logout.LogoutFilter@ac51234, tn.monetique.cardmanagment.security.jwt.AuthTokenFilter@369f85c6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@64e3d4ab, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12a065c5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@135de93b, org.springframework.security.web.session.SessionManagementFilter@36e8e3e1, org.springframework.security.web.access.ExceptionTranslationFilter@2407f1a8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@70027aec]
11:56:43.678 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
11:56:43.693 [main] INFO  o.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
11:56:43.693 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
11:56:43.694 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
11:56:43.694 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

11:56:43.694 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
11:56:43.694 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
11:56:43.694 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@32f0a9c2
11:56:43.749 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
11:56:43.769 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
11:56:43.770 [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
11:56:43.770 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
11:56:43.777 [main] INFO  t.m.c.CardManagmentApplication - Started CardManagmentApplication in 7.299 seconds (process running for 8.489)
11:57:27.750 [http-nio-8084-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:57:27.750 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:57:27.752 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
